                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9914,                 4.1059,                 4.0904,                0.22858,                 0.1135,                0.01863,                0.00409,                 2.7824,                  3.949,                  3.698,             0.00036786,             0.00036786,             0.00036786
                      2,                 2.5413,                 3.6119,                 3.3396,                0.51971,                 0.1326,                0.10497,                0.05215,                  2.006,                 3.9381,                 2.9038,             0.00070166,             0.00070166,             0.00070166
                      3,                 1.8922,                 2.9649,                 2.5799,                0.36878,                 0.3052,                0.20599,                0.11046,                 1.6535,                 2.8462,                 2.4607,             0.00099879,             0.00099879,             0.00099879
                      4,                 1.4743,                 2.4462,                 2.1325,                0.60878,                0.29439,                0.25173,                0.16287,                 1.7312,                 2.9924,                 2.7418,             0.00094602,             0.00094602,             0.00094602
                      5,                 1.2418,                 2.1393,                 1.8854,                0.24963,                0.62452,                0.31776,                0.23907,                0.94493,                 1.8611,                 1.5074,             0.00089102,             0.00089102,             0.00089102
                      6,                 1.0955,                 1.9663,                 1.7384,                 0.3318,                0.73347,                0.34245,                0.26894,                0.82827,                   1.71,                 1.3798,             0.00083603,             0.00083603,             0.00083603
                      7,                0.99832,                 1.8351,                 1.6445,                0.37796,                0.66169,                0.42928,                0.36085,                0.70616,                 1.5619,                 1.2452,             0.00078103,             0.00078103,             0.00078103
                      8,                0.92134,                 1.7269,                 1.5627,                0.39467,                0.66148,                0.44895,                0.38395,                0.67729,                 1.4534,                 1.1735,             0.00072604,             0.00072604,             0.00072604
                      9,                0.89539,                 1.6584,                 1.5346,                0.34202,                0.64371,                0.44599,                0.35554,                0.76342,                  1.531,                 1.2504,             0.00067104,             0.00067104,             0.00067104
                     10,                0.84822,                 1.6089,                 1.4946,                0.44677,                0.72445,                0.53809,                0.46708,                0.58088,                 1.3618,                 1.0442,             0.00061605,             0.00061605,             0.00061605
                     11,                  0.618,                 1.4521,                 1.3166,                0.42765,                0.71439,                0.52736,                0.47248,                0.51095,                 1.3139,                0.96913,             0.00056105,             0.00056105,             0.00056105
                     12,                0.57379,                 1.3047,                 1.2534,                0.55111,                0.68584,                 0.6141,                0.54866,                0.51873,                 1.1571,                0.97879,             0.00050606,             0.00050606,             0.00050606
                     13,                0.54139,                 1.2487,                 1.2196,                0.60145,                0.67937,                0.67044,                0.60576,                0.49306,                 1.0794,                 0.9308,             0.00045107,             0.00045107,             0.00045107
                     14,                 0.5265,                 1.1808,                 1.2102,                0.56857,                 0.7169,                0.68952,                0.63044,                0.44166,                 1.0729,                0.87986,             0.00039607,             0.00039607,             0.00039607
                     15,                0.50141,                 1.1202,                  1.181,                0.63734,                0.74755,                0.73044,                 0.6645,                0.44136,                 1.0507,                0.88493,             0.00034108,             0.00034108,             0.00034108
                     16,                0.47255,                 1.0483,                 1.1506,                0.69155,                0.73071,                0.77307,                0.71286,                0.41456,                0.89961,                0.86615,             0.00028608,             0.00028608,             0.00028608
                     17,                0.46172,                 1.0091,                 1.1402,                0.68031,                0.74519,                0.78633,                0.72859,                0.40339,                0.88803,                 0.8558,             0.00023109,             0.00023109,             0.00023109
                     18,                0.43455,                0.96871,                 1.1227,                0.75754,                0.73369,                0.81579,                0.75763,                0.38718,                0.83234,                0.83473,             0.00017609,             0.00017609,             0.00017609
                     19,                0.42735,                0.92364,                 1.1112,                0.77134,                0.77129,                0.83538,                0.78045,                0.37096,                0.78595,                0.82123,              0.0001211,              0.0001211,              0.0001211
                     20,                0.40839,                0.88919,                 1.1001,                0.78846,                0.78327,                0.85037,                0.79465,                0.36407,                0.75672,                0.81322,             6.6105e-05,             6.6105e-05,             6.6105e-05
